id,url,raw_text,username,datetime_tweet,to,mentions,hashtags,retweets,favorites,geo,label,clean_text
1288233862586413057,https://twitter.com/LoriWaters__/status/1288233862586413057,FAUCI SAYS: DONT WEAR A MASK #MaskUp #mask #nomask #NoMaskMandates #antimask #AntiMaskerProblems,LoriWaters__,2020-07-28 22:04:21+00:00,,,#MaskUp #mask #nomask #NoMaskMandates #antimask #AntiMaskerProblems,4,2,,neg,fauci says: dont wear a mask #maskup #mask    mandates #antimask #antimaskerproblems
1288233781577560066,https://twitter.com/I_wantTOflyAWAY/status/1288233781577560066,They’re everywhere the same type of people that voluntarily joined Gestapo in 1930’s #staysane #muzzlefree #nomask #staystrong,I_wantTOflyAWAY,2020-07-28 22:04:02+00:00,pjpaton,,#staysane #muzzlefree #nomask #staystrong,1,2,,neg,they’re everywhere the same type of people that voluntarily joined gestapo in 1930’s #staysane #muzzlefree   #staystrong
1288191643384975360,https://twitter.com/Texas21542413/status/1288191643384975360,I can't wear a mask because I have a medical condition that requires me to Breathe Oxygen! #NoMask #Oxygen #Scamdemic #KnowYourRights,Texas21542413,2020-07-28 19:16:35+00:00,FirstLadyNJ,,#NoMask #Oxygen #Scamdemic #KnowYourRights,0,17,,neg,i can't wear a mask because i have a medical condition that requires me to breathe oxygen!   #oxygen #scamdemic #knowyourrights
1288188191120424963,https://twitter.com/am_mirk/status/1288188191120424963,that's a no from me. #Novax #noway #nomask,am_mirk,2020-07-28 19:02:52+00:00,NicolaSturgeon,,#Novax #noway #nomask,1,12,,neg,that's a no from me. #novax #noway  
1288184252362825728,https://twitter.com/TheBoxThatRoxx/status/1288184252362825728,ONLY one at @HEB without a #mask. Hall monitor said: “Do you have a mask?” And I said: “Yes but the New England Jourmal of Medicine says they’re ineffective so I’m not wearing it.” Kept on walking. #Pushback #FightBack #nomask #TakeYourMaskAndShoveIt #LiveFreeOrDie,TheBoxThatRoxx,2020-07-28 18:47:13+00:00,,@HEB,#mask #Pushback #FightBack #nomask #TakeYourMaskAndShoveIt #LiveFreeOrDie,2,7,,neg,only one at @heb without a #mask. hall monitor said: “do you have a mask?” and i said: “yes but the new england jourmal of medicine says they’re ineffective so i’m not wearing it.” kept on walking. #pushback #fightback   #takeyourmaskandshoveit #livefreeordie
1288150960863313920,https://twitter.com/mrjohnhendry/status/1288150960863313920,"Just had to venture to a nearby @Tesco for the 2nd time in a week. First time was asked by staff at door ""Do you know..."" to which I interjected ""Yes thank you."" Lone mask wearer. Today not a peep from any staff member and maybe 5% without. Little by little. #NoMask",mrjohnhendry,2020-07-28 16:34:56+00:00,,@Tesco,#NoMask,2,14,,neg,"just had to venture to a nearby @tesco for the 2nd time in a week. first time was asked by staff at door ""do you know..."" to which i interjected ""yes thank you."" lone mask wearer. today not a peep from any staff member and maybe 5% without. little by little.  "
1288150567924236291,https://twitter.com/krissii123/status/1288150567924236291,It seems to be forgotten. They are now just concentrating on the next phase of #Plandemic2020 . I can't wait to see what is in store for us #NoMask,krissii123,2020-07-28 16:33:22+00:00,mattletiss7,,#Plandemic2020 #NoMask,0,25,,neg,it seems to be forgotten. they are now just concentrating on the next phase of #plandemic2020 . i can't wait to see what is in store for us  
1288146258209779712,https://twitter.com/plutoslovechild/status/1288146258209779712,Anyone that would take this vaccine would have to be nuts to use Al Johnson phraseology #NoVaccine #NoMask #ArrestHancock,plutoslovechild,2020-07-28 16:16:15+00:00,d_mos77,,#NoVaccine #NoMask #ArrestHancock,9,10,,neg,anyone that would take this vaccine would have to be nuts to use al johnson phraseology #novaccine   #arresthancock
1288136465910657024,https://twitter.com/LucyKnows1/status/1288136465910657024,It's True #NoMask required I walked all through Walmart yesterday without a single request from any clerk - even at the entry Walmart Home Depot Walgreens and CVS WILL serve customers in U-turn https://www.dailymail.co.uk/news/article-8557749/Walmart-Home-Depot-Walgreens-CVS-serve-customers-dont-wear-masks.html?ito=amp_twitter_share-top via @MailOnline,LucyKnows1,2020-07-28 15:37:20+00:00,,@MailOnline,#NoMask,111,91,,neg,it's true   required i walked all through walmart yesterday without a single request from any clerk - even at the entry walmart home depot walgreens and cvs will serve customers in u-turn https://www.dailymail.co.uk/news/article-8557749/walmart-home-depot-walgreens-cvs-serve-customers-dont-wear-masks.html?ito=amp_twitter_share-top via @mailonline
1288083749033447425,https://twitter.com/laura04861663/status/1288083749033447425,Sorry I’ve have the most cringe voice eva #oxford #nomask ,laura04861663,2020-07-28 12:07:51+00:00,,,#oxford #nomask,0,12,,neg,sorry i’ve have the most cringe voice eva #oxford   
