id,url,raw_text,username,datetime_tweet,to,mentions,hashtags,retweets,favorites,geo,label,clean_text
1255998607112712192,https://twitter.com/DemsKeys/status/1255998607112712192,This is a confidence builder. The confidence that we should continue with #SocialDistance longer for good measure. #WearAMask #DemCast #DemCastFL,DemsKeys,2020-04-30 23:12:57+00:00,rjwile,,#SocialDistance #WearAMask #DemCast #DemCastFL,9,11,,pos,this is a confidence builder. the confidence that we should continue with #socialdistance longer for good measure.   #demcast #demcastfl
1255977156066390018,https://twitter.com/SharkawyMD/status/1255977156066390018,Brilliantly expressed. I know this is going to piss somebody off. Pun intended. #protecturself #WearAMask #wearpantstoo,SharkawyMD,2020-04-30 21:47:43+00:00,DFisman,,#protecturself #WearAMask #wearpantstoo,5,24,,pos,brilliantly expressed. i know this is going to piss somebody off. pun intended. #protecturself   #wearpantstoo
1255971068344442888,https://twitter.com/MrsAguasTweets/status/1255971068344442888,All of this shouting without masks in close proximity of each other. In two weeks the saliva droplets in the air may prove to be more dangerous than the guns. #SaveALife #WearAMask,MrsAguasTweets,2020-04-30 21:23:32+00:00,UncleBulba,,#SaveALife #WearAMask,15,176,,pos,all of this shouting without masks in close proximity of each other. in two weeks the saliva droplets in the air may prove to be more dangerous than the guns. #savealife  
1255961921141997568,https://twitter.com/MLAlexion/status/1255961921141997568,He wore a pink mask.... #COVID__19 #streetphotography @Number__47__ @rvoneinem @YoushowmeP @reescb @allcalledmurphy @BlackstarCorne1 @trixxx_vw @MenSauveur @BlackstarCorne1 @RabalFrancesco @toiblarlos @vidan_taki @mhall55nine @David_Jenkins_7 @Alex00762690 #WearAMask ,MLAlexion,2020-04-30 20:47:11+00:00,,@Number__47__ @rvoneinem @YoushowmeP @reescb @allcalledmurphy @BlackstarCorne1 @trixxx_vw @MenSauveur @BlackstarCorne1 @RabalFrancesco @toiblarlos @vidan_taki @mhall55nine @David_Jenkins_7 @Alex00762690,#COVID__19 #streetphotography #WearAMask,9,19,,pos,he wore a pink mask.... #covid__19 #streetphotography @number__47__ @rvoneinem @youshowmep @reescb @allcalledmurphy @blackstarcorne1 @trixxx_vw @mensauveur @blackstarcorne1 @rabalfrancesco @toiblarlos @vidan_taki @mhall55nine @david_jenkins_7 @alex00762690   
1255955164403564545,https://twitter.com/DrDonnaDemocrat/status/1255955164403564545,If I wear a mask the risk of transmission becomes 60-70% If you and I both wear masks the risk of transmission becomes 1.5% #WearAMask #StaySafe #COVID19,DrDonnaDemocrat,2020-04-30 20:20:20+00:00,,,#WearAMask #StaySafe #COVID19,97,179,,pos,if i wear a mask the risk of transmission becomes 60-70% if you and i both wear masks the risk of transmission becomes 1.5%   #staysafe #covid19
1255940528455028736,https://twitter.com/robertmaschio/status/1255940528455028736,Funniest Actor I ever worked with? #scrubs #quarantinelife #stayhome #socialdistancing #wearamask ,robertmaschio,2020-04-30 19:22:10+00:00,,,#scrubs #quarantinelife #stayhome #stayhome #socialdistancing #wearamask,11,457,,pos,funniest actor i ever worked with? #scrubs #quarantinelife #stayhome #socialdistancing   
1255925186337009665,https://twitter.com/VVUSDPDsgt/status/1255925186337009665, Parents Please do the right thing and #WearAMask when picking up food at the @ValVerdeUSD meal giveaways. Help protect our dedicated food service workers . Can I get a retweet from all of my school sites to promote this message! #VVinthistogether,VVUSDPDsgt,2020-04-30 18:21:13+00:00,,@ValVerdeUSD,#WearAMask #VVinthistogether,16,23,,pos, parents please do the right thing and   when picking up food at the @valverdeusd meal giveaways. help protect our dedicated food service workers . can i get a retweet from all of my school sites to promote this message! #vvinthistogether
1255914132622245890,https://twitter.com/JayGalla/status/1255914132622245890,I once gain request all my fellow Gunturians to kindly take note of the lockdown protocols and follow them strictly to ensure that you your family and those around you remain safe. #SocialDistancing #StayHomeStaySafe #WearAMask (n/n),JayGalla,2020-04-30 17:37:17+00:00,,,#SocialDistancing #StayHomeStaySafe #WearAMask,31,156,,pos,i once gain request all my fellow gunturians to kindly take note of the lockdown protocols and follow them strictly to ensure that you your family and those around you remain safe. #socialdistancing #stayhomestaysafe   (n/n)
1255902405675401216,https://twitter.com/IBlame/status/1255902405675401216,TIL that fart molecules are 2-3 orders of magnitude smaller than viruses #WearAMask ,IBlame,2020-04-30 16:50:41+00:00,MakalMakal,,#WearAMask,7,24,,pos,til that fart molecules are 2-3 orders of magnitude smaller than viruses   
1255899474226032641,https://twitter.com/lilmenj/status/1255899474226032641,Louder for the people in the back #WearAMask ,lilmenj,2020-04-30 16:39:02+00:00,,,#WearAMask,1,26,,pos,louder for the people in the back   
